edgeID,hour,vehicles
64130,NINEPM,279
64130,TENPM,202
64130,ELEVENPM,105
70557,MIDNIGHT,50
70557,ONEAM,20
70557,TWOAM,16
70557,THREEAM,16
70557,FOURAM,56
70557,FIVEAM,291
70557,SIXAM,789
70557,SEVENAM,2127
70557,EIGHTAM,3498
70557,NINEAM,2271
70557,TENAM,1963
70557,ELEVENAM,1970
70557,NOON,1906
70557,ONEPM,1836
70557,TWOPM,1943
70557,THREEPM,2588
70557,FOURPM,2789
70557,FIVEPM,3150
70557,SIXPM,2368
70557,SEVENPM,1525
70557,EIGHTPM,949
70557,NINEPM,625
70557,TENPM,454
70557,ELEVENPM,237
69414,MIDNIGHT,43
69414,ONEAM,17
69414,TWOAM,14
69414,THREEAM,14
69414,FOURAM,49
69414,FIVEAM,252
69414,SIXAM,685
69414,SEVENAM,1846
69414,EIGHTAM,3037
69414,NINEAM,1971
69414,TENAM,1704
69414,ELEVENAM,1710
69414,NOON,1655
69414,ONEPM,1594
69414,TWOPM,1687
69414,THREEPM,2247
69414,FOURPM,2421
69414,FIVEPM,2735
69414,SIXPM,2055
69414,SEVENPM,1324
69414,EIGHTPM,824
69414,NINEPM,543
69414,TENPM,394
69414,ELEVENPM,206
76765,MIDNIGHT,17
76765,ONEAM,7
76765,TWOAM,5
76765,THREEAM,5
76765,FOURAM,20
76765,FIVEAM,102
76765,SIXAM,278
76765,SEVENAM,749
76765,EIGHTAM,1233
76765,NINEAM,800
76765,TENAM,691
76765,ELEVENAM,694
76765,NOON,671
76765,ONEPM,647
76765,TWOPM,684
76765,THREEPM,912
76765,FOURPM,983
76765,FIVEPM,1110
76765,SIXPM,834
76765,SEVENPM,537
76765,EIGHTPM,334
76765,NINEPM,220
76765,TENPM,160
76765,ELEVENPM,83
79104,MIDNIGHT,49
79104,ONEAM,19
79104,TWOAM,16
79104,THREEAM,16
79104,FOURAM,56
79104,FIVEAM,288
79104,SIXAM,783
79104,SEVENAM,2111
79104,EIGHTAM,3472
79104,NINEAM,2254
79104,TENAM,1948
79104,ELEVENAM,1955
79104,NOON,1892
79104,ONEPM,1822
79104,TWOPM,1929
79104,THREEPM,2569
79104,FOURPM,2769
79104,FIVEPM,3127
79104,SIXPM,2350
79104,SEVENPM,1514
79104,EIGHTPM,942
79104,NINEPM,620
79104,TENPM,451
79104,ELEVENPM,235
58968,MIDNIGHT,49
58968,ONEAM,19
58968,TWOAM,16
58968,THREEAM,16
58968,FOURAM,55
58968,FIVEAM,284
58968,SIXAM,771
58968,SEVENAM,2079
58968,EIGHTAM,3419
58968,NINEAM,2219
58968,TENAM,1919
58968,ELEVENAM,1925
58968,NOON,1863
58968,ONEPM,1794
58968,TWOPM,1899
58968,THREEPM,2530
58968,FOURPM,2726
58968,FIVEPM,3079
